Series,PBG,PBU,PBU_1,PBU_2,Focus/DR Flag,Pricing/Lead Time PM,Technical PM
T521D,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
T521M,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
T521O,Capacitor,TANTALUM,POLYMER,SP-KO HIGH VOLTAGE,Yes,Stephen Weisenborn,Rosa Davila
T521Q,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
T521T,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
T521V,Capacitor,TANTALUM,POLYMER,SP-KO HIGH VOLTAGE,Yes,Stephen Weisenborn,Rosa Davila
T521W,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
T521X,Capacitor,TANTALUM,POLYMER,SP-KO HIGH VOLTAGE,Yes,Stephen Weisenborn,Rosa Davila
T522V,Capacitor,TANTALUM,POLYMER,CM-KO LOW LEAKAGE,Yes,Stephen Weisenborn,Rosa Davila
T522Y,Capacitor,TANTALUM,POLYMER,CM-KO LOW LEAKAGE,Yes,Stephen Weisenborn,Rosa Davila
T523H,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T523J,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T523K,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T523T,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
T523V,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T523W,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T525A,Capacitor,TANTALUM,POLYMER,CM-KO HIGH TEMP,Yes,Stephen Weisenborn,Rosa Davila
T525B,Capacitor,TANTALUM,POLYMER,CM-KO HIGH TEMP,Yes,Stephen Weisenborn,Rosa Davila
T525D,Capacitor,TANTALUM,POLYMER,CM-KO HIGH TEMP,Yes,Stephen Weisenborn,Rosa Davila
T525T,Capacitor,TANTALUM,POLYMER,CM-KO HIGH TEMP,Yes,Stephen Weisenborn,Rosa Davila
T525Y,Capacitor,TANTALUM,POLYMER,CM-KO HIGH TEMP,Yes,Stephen Weisenborn,Rosa Davila
T527I,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
T527K,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
T527S,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
T527T,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
T528B,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
T528W,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
T528Z,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
T529P,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
T530D,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
T530X,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
T530Y,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
T545D,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T545H,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T545V,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T545W,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T545X,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T545Y,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T548H,Capacitor,TANTALUM,POLYMER,SP-KO HIGH ENERGY,Yes,Stephen Weisenborn,Rosa Davila
T591B,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T591D,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T591V,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T591X,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T597S,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T598B,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T598D,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T598V,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T598X,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T599B,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T599D,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
T599X,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
TEFPS,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
TEGPS,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
TEPSG,Capacitor,TANTALUM,POLYMER,CM-KO ULTRA LOW ESR,Yes,Stephen Weisenborn,Rosa Davila
TEPSL,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
TF08A,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
TLPSL,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
AC020,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AC040,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AC050,Capacitor,MLCC,AUTOMOTIVE,AC Array,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AC060,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AC061,Capacitor,MLCC,AUTOMOTIVE,AC Array,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AC080,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AC120,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AC121,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AC181,Capacitor,MLCC,AUTOMOTIVE,AC HC >=105,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AC777,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AD040,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AD060,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AD080,Capacitor,MLCC,AUTOMOTIVE,AC Commodity,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AD120,Capacitor,MLCC,AUTOMOTIVE,AC HV >=500V,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AQ040,Capacitor,MLCC,AUTOMOTIVE,AQ (Hi-Q),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AQ060,Capacitor,MLCC,AUTOMOTIVE,AQ (Hi-Q),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AS040,Capacitor,MLCC,AUTOMOTIVE,AS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AS060,Capacitor,MLCC,AUTOMOTIVE,AS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AS080,Capacitor,MLCC,AUTOMOTIVE,AS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AS120,Capacitor,MLCC,AUTOMOTIVE,AS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
AS121,Capacitor,MLCC,AUTOMOTIVE,AS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CA050,Capacitor,MLCC,SPECIALTY,ARRAY,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CA061,Capacitor,MLCC,SPECIALTY,ARRAY,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC010,Capacitor,MLCC,COMMODITY,CC0100,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC020,Capacitor,MLCC,COMMODITY,CC0201,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC040,Capacitor,MLCC,COMMODITY,CC0402,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
